Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Full Address,Latitude,Longitude,Services,Insurance Coverage
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"400 NORTHWOOD DR, CENTRE, AL, 35960",34.162022199999996,-85.65113601,Hearing Services,Travelers Companies
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,"2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL, 36116",32.327953050000005,-86.277782,Broken Hand,Humana Inc.
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,,,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"1725 PINE STREET, MONTGOMERY, AL, 36106",32.3665644,-86.28477424,Stitches,Cigna Corporation
010025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,,,VALLEY,AL,36854,CHAMBERS,3347561400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,"4800 48TH ST, VALLEY, AL, 36854",32.8245339,-85.16893898,Flu Shots,Kaiser Permanente
010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,,,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"987 DRAYTON STREET, ELBA, AL, 36323",31.430056879695147,-86.0766327,Physical Therapy,CVS Health Corp Group
010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,,,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"2000 PEPPERELL PARKWAY, OPELIKA, AL, 36801",32.638159,-85.404239,Cardiac Care,State Farm Group
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,,,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Local,Yes,"209 NORTH MAIN STREET, WEDOWEE, AL, 36278",33.31127917367592,-85.48468215,Cancer Treatment,UnitedHealth Group
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,Yes,"619 SOUTH 19TH STREET, BIRMINGHAM, AL, 35233",33.506101102040816,-86.80178237,Emergency Surgery,Progressive Corporation
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"805 FRIENDSHIP ROAD, TALLASSEE, AL, 36078",32.5339098,-85.9122466,Orthopedics,Allstate Corporation
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"1912 ALABAMA HIGHWAY 157, CULLMAN, AL, 35058",34.21042258336805,-86.88754812,Pediatrics,Liberty Mutual Insurance
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,Yes,"849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL, 36420",31.2958801,-86.49431124,Dermatology,Travelers Companies
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,,,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,Proprietary,Yes,"301 EAST 18TH ST, ANNISTON, AL, 36201",33.668161,-85.82380499,Psychiatry,Humana Inc.
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"101 SIVLEY RD, HUNTSVILLE, AL, 35801",34.7204666,-86.58096415,Neurology,Cigna Corporation
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,Yes,"1007 GOODYEAR AVENUE, GADSDEN, AL, 35903",34.00778505,-85.96630958,Dental Care,Kaiser Permanente
010043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,,,CLANTON,AL,35045,CHILTON,2057552500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"1010 LAY DAM ROAD, CLANTON, AL, 35045",32.85300085714285,-86.62291959,Vision Care,State Farm Group
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"1256 MILITARY STREET SOUTH, HAMILTON, AL, 35570",34.12608455,-87.99086732,Hearing Services,State Farm Group
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,"1653 TEMPLE AVENUE NORTH, FAYETTE, AL, 35555",33.70823085,-87.8247845,Broken Hand,UnitedHealth Group
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,Yes,"600 SOUTH THIRD STREET, GADSDEN, AL, 35901",,,Stitches,Progressive Corporation
010047,GEORGIANA HOSPITAL,515 MIRANDA ST,,,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"515 MIRANDA ST, GEORGIANA, AL, 36033",,,Flu Shots,Allstate Corporation
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,"400 N EDWARDS STREET, ENTERPRISE, AL, 36330",31.318424999999998,-85.8546888,Physical Therapy,Liberty Mutual Insurance
010050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,,,ONEONTA,AL,35121,BLOUNT,2052743000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"150 GILBREATH DRIVE, ONEONTA, AL, 35121",33.93026625,-86.49386237,Cardiac Care,Travelers Companies
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,,,EUTAW,AL,35462,GREENE,2053723388,Acute Care Hospitals,Government - Local,Yes,"509 WILSON AVENUE, EUTAW, AL, 35462",32.8429125,-87.89051101,Cancer Treatment,Humana Inc.
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,,,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care Hospitals,Proprietary,Yes,"201 MARIARDEN ROAD, DADEVILLE, AL, 36853",32.8187446,-85.74108716,Emergency Surgery,Cigna Corporation
010054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,,,DECATUR,AL,35601,MORGAN,2563502211,Acute Care Hospitals,Proprietary,Yes,"1874 BELTLINE RD SW, DECATUR, AL, 35601",34.57668685,-87.01596198,Orthopedics,Kaiser Permanente
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,Yes,"4370 WEST MAIN STREET, DOTHAN, AL, 36305",31.2374957,-85.4561708,Pediatrics,State Farm Group
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,,,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,"810 ST VINCENT'S DRIVE, BIRMINGHAM, AL, 35205",33.50866,-86.78637,Dermatology,State Farm Group
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,,,CENTREVILLE,AL,35042,BIBB,2059264881,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"208 PIERSON AVE, CENTREVILLE, AL, 35042",32.9513204,-87.14820514,Psychiatry,UnitedHealth Group
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,,,MOULTON,AL,35650,LAWRENCE,2569742200,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"202 HOSPITAL STREET, MOULTON, AL, 35650",34.48331015,-87.28525251,Neurology,Progressive Corporation
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,,,SCOTTSBORO,AL,35768,JACKSON,2562594444,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"380 WOODS COVE ROAD, SCOTTSBORO, AL, 35768",34.66148285,-86.04827417,Dental Care,Allstate Corporation
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,,,GENEVA,AL,36340,GENEVA,3346843655,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"1200 W MAPLE AVENUE, GENEVA, AL, 36340",31.0489116,-85.89202133,Vision Care,Liberty Mutual Insurance
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,,,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"3316 HIGHWAY 280, ALEXANDER CITY, AL, 35010",,,Hearing Services,Travelers Companies
010066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,,,FLORALA,AL,36442,COVINGTON,3348583287,Acute Care Hospitals,Proprietary,Yes,"24273 FIFTH AVENUE, FLORALA, AL, 36442",,,Broken Hand,Humana Inc.
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"820 W WASHINGTON ST, EUFAULA, AL, 36027",31.88880275,-85.15637324,Stitches,Cigna Corporation
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,,,ASHLAND,AL,36251,CLAY,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"83825 HIGHWAY 9    P O BOX 1270, ASHLAND, AL, 36251",,,Flu Shots,Kaiser Permanente
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,,,ANNISTON,AL,36207,CALHOUN,2562355121,Acute Care Hospitals,Government - Local,Yes,"400 EAST 10TH STREET, ANNISTON, AL, 36207",33.6553544,-85.82375973,Physical Therapy,State Farm Group
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,,,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"700 WEST MARKET STREET, ATHENS, AL, 35611",,,Cardiac Care,UnitedHealth Group
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care Hospitals,Proprietary,Yes,"1613 NORTH MCKENZIE STREET, FOLEY, AL, 36535",,,Cancer Treatment,Progressive Corporation
010085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,,,DECATUR,AL,35609,MORGAN,2563412000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"1201 7TH STREET SE, DECATUR, AL, 35609",34.59085815,-86.97139353,Emergency Surgery,Allstate Corporation
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,,,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,Proprietary,Yes,"1530 U S HIGHWAY 43, WINFIELD, AL, 35594",,,Orthopedics,Liberty Mutual Insurance
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,Government - State,Yes,"2451 FILLINGIM STREET, MOBILE, AL, 36617",30.707918021880523,-88.10199185,Pediatrics,Travelers Companies
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,,,JASPER,AL,35502,WALKER,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"3400 HIGHWAY 78 EAST, JASPER, AL, 35502",,,Dermatology,Humana Inc.
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,,,MOBILE,AL,36608,MOBILE,2516331000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,"6801 AIRPORT BOULEVARD, MOBILE, AL, 36608",30.679321,-88.19853998,Psychiatry,Cigna Corporation
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,,,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care Hospitals,Government - Local,Yes,"295 JACKSON HWY S, GROVE HILL, AL, 36451",,,Neurology,Kaiser Permanente
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,,,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"809 UNIVERSITY BOULEVARD EAST, TUSCALOOSA, AL, 35401",33.204164,-87.52753681,Dental Care,CVS Health Corp Group
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,,,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Voluntary non-profit - Other,Yes,"508 GREEN STREET, GREENSBORO, AL, 36744",,,Vision Care,State Farm Group
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,,,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,Yes,"500 HOSPITAL DRIVE, WETUMPKA, AL, 36092",32.5526513,-86.18619538,Hearing Services,UnitedHealth Group
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,,,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"1301 BELLEVILLE AVENUE, BREWTON, AL, 36426",31.1267347,-87.07360549,Broken Hand,Progressive Corporation
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,,,FAIRHOPE,AL,36532,BALDWIN,2519282375,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"750 MORPHY AVENUE, FAIRHOPE, AL, 36532",30.51903605,-87.88835175,Stitches,Allstate Corporation
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,,,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"604 STONE AVENUE, TALLADEGA, AL, 35161",33.4404993,-86.09073711,Flu Shots,Liberty Mutual Insurance
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,,,CAMDEN,AL,36726,WILCOX,3346824131,Acute Care Hospitals,Government - Hospital District or Authority,No,"317 MCWILLIAMS AVENUE, CAMDEN, AL, 36726",31.99745625,-87.30017061,Physical Therapy,Travelers Companies
010103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,,,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Acute Care Hospitals,Voluntary non-profit - Church,Yes,"701 PRINCETON AVENUE SOUTHWEST, BIRMINGHAM, AL, 35211",33.4970032,-86.8473565,Cardiac Care,Humana Inc.
010104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,,,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Acute Care Hospitals,Proprietary,Yes,"800 MONTCLAIR RD, BIRMINGHAM, AL, 35213",33.517327,-86.7488776,Cancer Treatment,Cigna Corporation
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,,,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"124 S MEMORIAL DR, PRATTVILLE, AL, 36067",32.46450678611378,-86.45060772,Emergency Surgery,Kaiser Permanente
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,,,CARROLLTON,AL,35447,PICKENS,2053678111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"241 ROBERT K WILSON, CARROLLTON, AL, 35447",,,Orthopedics,State Farm Group
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,,,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Acute Care Hospitals,Proprietary,Yes,"102 WEST CONECUH AVENUE, UNION SPRINGS, AL, 36089",32.14623282498443,-85.7135745,Pediatrics,State Farm Group
010112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,,,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"105 HIGHWAY 80 EAST, DEMOPOLIS, AL, 36732",,,Dermatology,UnitedHealth Group
010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,,,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"5 MOBILE INFIRMARY CIRCLE, MOBILE, AL, 36652",30.69599325,-88.07939326,Psychiatry,Progressive Corporation
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,,,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,"995 9TH AVENUE SOUTHWEST, BESSEMER, AL, 35021",33.37426501303757,-86.99059651,Neurology,Allstate Corporation
010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,,,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,Yes,"1015 MEDICAL CENTER PARKWAY, SELMA, AL, 36701",32.429399599999996,-87.05590344,Dental Care,Liberty Mutual Insurance
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,,,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,"2016 SOUTH ALABAMA AVENUE, MONROEVILLE, AL, 36461",31.497939,-87.32065299,Vision Care,Travelers Companies
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,,,HALEYVILLE,AL,35565,WINSTON,2054857117,Acute Care Hospitals,Voluntary non-profit - Church,Yes,"42024 HIGHWAY 195 E     POST OFFICE BOX 780, HALEYVILLE, AL, 35565",,,Hearing Services,Humana Inc.
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,,TROY,AL,36081,PIKE,3346705000,Acute Care Hospitals,Government - Federal,Yes,"1330 HIGHWAY 231 SOUTH, TROY, AL, 36081",,,Broken Hand,Cigna Corporation
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,,JACKSON,AL,36545,CLARKE,2512469021,Acute Care Hospitals,Proprietary,Yes,"220 HOSPITAL DRIVE, JACKSON, AL, 36545",31.5313272,-87.89506256,Stitches,Kaiser Permanente
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,,,BAY MINETTE,AL,36507,BALDWIN,2519375521,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"1815 HAND AVENUE, BAY MINETTE, AL, 36507",30.90380695,-87.78495512,Flu Shots,State Farm Group
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,,,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"7063 VETERANS PARKWAY, PELL CITY, AL, 35125",33.6044765,-86.3013052,Physical Therapy,State Farm Group
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,,,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,Yes,"ONE HOSPITAL DR SE, HUNTSVILLE, AL, 35801",,,Cardiac Care,UnitedHealth Group
010137,COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,,,BIRMINGHAM,AL,35233,JEFFERSON,2059303200,Acute Care Hospitals,Government - Local,No,"1515 6TH AVENUE SOUTH, BIRMINGHAM, AL, 35233",33.50344555,-86.80674415,Cancer Treatment,Progressive Corporation
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,,,YORK,AL,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,Yes,"751 DERBY DRIVE, YORK, AL, 36925",32.4919402,-88.29544297,Emergency Surgery,Allstate Corporation
010139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,,,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,Acute Care Hospitals,Proprietary,Yes,"2010 BROOKWOOD MEDICAL CENTER DRIVE, BIRMINGHAM, AL, 35209",33.464377999999996,-86.7760958,Orthopedics,Liberty Mutual Insurance
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,,MOBILE,AL,36608,MOBILE,2513449630,Acute Care Hospitals,Proprietary,Yes,"3719 DAUPHIN STREET, MOBILE, AL, 36608",30.6847189,-88.13015692,Pediatrics,Travelers Companies
010145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,,,NORTHPORT,AL,35476,TUSCALOOSA,2053334500,Acute Care Hospitals,Government-Hospital District or Authority,Not Available,"2700 HOSPITAL DRIVE, NORTHPORT, AL, 35476",33.2347532,-87.57095112,Dermatology,Humana Inc.
010146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,,,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,Yes,"1701 SOUTH PELHAM ROAD, JACKSONVILLE, AL, 36265",33.78489195,-85.76282812,Psychiatry,Cigna Corporation
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,Yes,"101 CRESTVIEW AVENUE, EVERGREEN, AL, 36401",,,Neurology,Kaiser Permanente
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"400 TAYLOR ROAD, MONTGOMERY, AL, 36117",32.38793087577623,-86.17603445,Dental Care,State Farm Group
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,,,BIRMINGHAM                    ,AL,35233,JEFFERSON,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes,"700 SOUTH 19TH STREET, BIRMINGHAM                    , AL, 35233",33.50505,-86.80129,Vision Care,UnitedHealth Group
010150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,,,GREENVILLE,AL,36037,BUTLER,3343822200,Acute Care Hospitals,Proprietary,Yes,"29 L V STABLER DRIVE, GREENVILLE, AL, 36037",,,Hearing Services,Progressive Corporation
010152,INFIRMARY WEST,5600 GIRBY RD,,,MOBILE,AL,36693,MOBILE,2516605236,Acute Care Hospitals,Government - State,Yes,"5600 GIRBY RD, MOBILE, AL, 36693",30.618399,-88.171134,Broken Hand,Allstate Corporation
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,,,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,"201 WEST AVALON AVENUE, MUSCLE SHOALS, AL, 35661",,,Stitches,Liberty Mutual Insurance
